Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",164.414599,-98.762601,0.000000,top
"C2","0.1u","C_0805_2012Metric",165.798400,-89.358499,0.000000,top
"C3","100n","C_0805_2012Metric",155.627600,-68.471600,-90.000000,top
"C4","100n","C_0805_2012Metric",168.746000,-65.576800,0.000000,top
"C5","100n","C_0805_2012Metric",162.700000,-76.600000,-90.000000,top
"C6","0.1u","C_0805_2012Metric",154.834299,-98.965801,180.000000,top
"C7","100n","C_0805_2012Metric",160.486087,-78.797976,-90.000000,top
"C8","100n","C_0805_2012Metric",175.400000,-78.000000,0.000000,top
"C11","1u","C_0805_2012Metric",175.992300,-88.775500,-90.000000,top
"C12","1u","C_0805_2012Metric",179.000000,-112.000000,0.000000,top
"C16","1.5n","C_0805_2012Metric",180.600000,-84.900000,-90.000000,top
"C17","1.5n","C_0805_2012Metric",180.970700,-106.860300,180.000000,top
"C18","560p","C_0805_2012Metric",180.564300,-88.623100,-90.000000,top
"C19","560p","C_0805_2012Metric",180.107100,-100.205500,90.000000,top
"C25","100n","C_0805_2012Metric",191.300000,-90.350000,90.000000,top
"C_Polarized1","10u","CP_Radial_D4.0mm_P1.50mm",165.250000,-102.750000,0.000000,top
"C_Polarized2","10u","CP_Radial_D4.0mm_P1.50mm",165.600000,-92.800000,0.000000,top
"C_Polarized3","4.7u","CP_Radial_D4.0mm_P1.50mm",144.654800,-70.644600,-90.000000,top
"C_Polarized4","4.7u","CP_Radial_D4.0mm_P1.50mm",161.399001,-68.461001,-90.000000,top
"C_Polarized5","1u","CP_Radial_D4.0mm_P1.50mm",170.350000,-98.150000,0.000000,top
"C_Polarized6","4.7u","CP_Radial_D4.0mm_P1.50mm",165.000000,-84.500000,0.000000,top
"C_Polarized7","4.7u","CP_Radial_D4.0mm_P1.50mm",161.250000,-101.000000,-90.000000,top
"C_Polarized8","4.7u Tantalllum","CP_Radial_D4.0mm_P1.50mm",161.000000,-86.250000,90.000000,top
"C_Polarized9","4.7u","CP_Radial_D4.0mm_P1.50mm",173.900000,-93.600000,0.000000,top
"C_Polarized10","1u","CP_Radial_D4.0mm_P1.50mm",167.497599,-109.132399,-90.000000,top
"C_Polarized11","4.7u","CP_Radial_D4.0mm_P1.50mm",157.337599,-111.037399,-90.000000,top
"C_Polarized12","10u","CP_Radial_D4.0mm_P1.50mm",155.419899,-102.369401,180.000000,top
"D1","S2BA-13-F","D_SMA",150.554900,-66.751700,0.000000,top
"D2","S2BA-13-F","D_SMA",139.800000,-73.700000,-90.000000,top
"IC1","PCM3002E","SOP65P780X200-24N",159.385399,-92.869801,-90.000000,top
"IC4","MCP6007-E_SN","SOIC127P600X175-8N",182.408300,-94.566700,90.000000,top
"IC5","MCP6007-E_SN","SOIC127P600X175-8N",191.283100,-96.090700,90.000000,top
"J1","Barrel_Jack_Switch","BarrelJack_Horizontal",135.611900,-75.708600,0.000000,top
"J2","Conn_01x11_Pin","PinSocket_1x11_P2.54mm_Vertical",131.135900,-86.288200,0.000000,top
"J3","Conn_01x08_Pin","PinSocket_1x08_P2.54mm_Vertical",175.080000,-116.500000,-90.000000,top
"J4","NRJ4HF","Jack_6.35mm_Neutrik_NRJ4HF_Horizontal",195.049600,-67.260200,0.000000,top
"J5","NRJ4HF","Jack_6.35mm_Neutrik_NRJ4HF_Horizontal",194.287600,-103.937800,0.000000,top
"L1","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",157.445587,-77.855376,0.000000,top
"L2","10u","L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.500000,-77.000000,-90.000000,top
"R1","10k","R_0805_2012Metric",147.250000,-103.300000,90.000000,top
"R3","47k","R_0805_2012Metric",181.550000,-82.000000,0.000000,top
"R4","47k","R_0805_2012Metric",181.087500,-109.500000,0.000000,top
"R6","3.3k","R_0805_2012Metric",178.450000,-84.900000,-90.000000,top
"R7","3.3k","R_0805_2012Metric",178.024300,-108.130300,90.000000,top
"R8","1.6k","R_0805_2012Metric",178.379900,-88.623100,90.000000,top
"R9","1.6k","R_0805_2012Metric",177.836300,-101.626000,-90.000000,top
"R10","2k","R_0805_2012Metric",182.799500,-86.489500,-90.000000,top
"R11","2k","R_0805_2012Metric",180.122300,-103.962800,90.000000,top
"R13","1k","R_0805_2012Metric",185.187100,-89.639100,180.000000,top
"R14","1k","R_0805_2012Metric",184.033900,-99.545100,180.000000,top
"R16","10k","R_0805_2012Metric",189.964200,-85.881800,0.000000,top
"R17","10k","R_0805_2012Metric",193.520200,-85.881800,0.000000,top
"U1","LD1117S12TR_SOT223","SOT-223-3_TabPin2",150.700000,-73.450000,-90.000000,top
"U2","LD1117S33TR_SOT223","SOT-223-3_TabPin2",167.425200,-71.266400,-90.000000,top
